	Su2C					TCGA							
Apoptotic cleavage of cellular proteins	5	0.454545455	0.687551651		15	1.363636364	1.501514387	11		TCGA	1	0	TCGA
Eukaryotic Translation Elongation	5	0.454545455	0.522232968		15	1.363636364	2.460598597	11		TCGA	1	0	TCGA
Activation of Gene Expression by SREBP (SREBF)	6	0.545454545	0.820199532		15	1.363636364	2.01359019	11		TCGA	1	0	TCGA
Nonsense Mediated Decay Independent of the Exon Junction Complex	6	0.545454545	0.687551651		15	1.363636364	2.419616799	11		TCGA	1	0	TCGA
NCAM1 interactions	7	0.636363636	0.924416278		15	1.363636364	2.419616799	11		TCGA	1	0	TCGA
Cytosolic sensors of pathogen-associated DNA	9	0.818181818	1.07871978		15	1.363636364	1.963299634	11		TCGA	1	0	TCGA
MHC class II antigen presentation	9	0.818181818	0.981649817		15	1.363636364	2.500908926	11		TCGA	1	0	TCGA
FBXW7 Mutants and NOTCH1 in Cancer	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
PI3K Cascade	11	1	1.095445115		15	1.363636364	2.335496832	11		TCGA	1	0	TCGA
Signaling by NOTCH1	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Signaling by NOTCH1 HD Domain Mutants in Cancer	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Signaling by NOTCH1 in Cancer	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Signaling by NOTCH1 PEST Domain Mutants in Cancer	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	11	1	1.095445115		15	1.363636364	1.629277587	11		TCGA	1	0	TCGA
Orc1 removal from chromatin	3	0.272727273	0.646669791		14	1.272727273	1.793929156	11		TCGA	1	0	TCGA
Regulation of DNA replication	3	0.272727273	0.646669791		14	1.272727273	1.793929156	11		TCGA	1	0	TCGA
Removal of licensing factors from origins	3	0.272727273	0.646669791		14	1.272727273	1.793929156	11		TCGA	1	0	TCGA
Respiratory electron transport	3	0.272727273	0.467099366		14	1.272727273	2.412090757	11		TCGA	1	0	TCGA
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	3	0.272727273	0.467099366		14	1.272727273	2.412090757	11		TCGA	1	0	TCGA
Switching of origins to a post-replicative state	3	0.272727273	0.646669791		14	1.272727273	1.793929156	11		TCGA	1	0	TCGA
DNA Replication Pre-Initiation	4	0.363636364	0.674199862		14	1.272727273	1.348399725	11		TCGA	1	0	TCGA
M/G1 Transition	4	0.363636364	0.674199862		14	1.272727273	1.348399725	11		TCGA	1	0	TCGA
Viral mRNA Translation	4	0.363636364	0.504524979		14	1.272727273	2.284333999	11		TCGA	1	0	TCGA
"Lipid digestion, mobilization, and transport"	5	0.454545455	0.687551651		14	1.272727273	1.489356176	11		TCGA	1	0	TCGA
Synthesis of PIPs at the plasma membrane	6	0.545454545	0.934198733		14	1.272727273	1.489356176	11		TCGA	1	0	TCGA
ECM proteoglycans	8	0.727272727	0.786245393		14	1.272727273	2.37027041	11		TCGA	1	0	TCGA
Class B/2 (Secretin family receptors)	9	0.818181818	0.981649817		14	1.272727273	1.954016842	11		TCGA	1	0	TCGA
Clathrin derived vesicle budding	9	0.818181818	1.250454463		14	1.272727273	2.148995537	11		TCGA	1	0	TCGA
trans-Golgi Network Vesicle Budding	9	0.818181818	1.250454463		14	1.272727273	2.148995537	11		TCGA	1	0	TCGA
Cell-cell junction organization	10	0.909090909	1.136181804		14	1.272727273	1.489356176	11		TCGA	1	0	TCGA
TRAF6 Mediated Induction of proinflammatory cytokines	10	0.909090909	1.221027883		14	1.272727273	1.848832555	11		TCGA	1	0	TCGA
Retinoid metabolism and transport	2	0.181818182	0.404519917		13	1.181818182	2.136266922	11		TCGA	1	0	TCGA
Eukaryotic Translation Termination	5	0.454545455	0.687551651		13	1.181818182	2.182575626	11		TCGA	1	0	TCGA
Integrin cell surface interactions	5	0.454545455	0.687551651		13	1.181818182	2.040499048	11		TCGA	1	0	TCGA
Peptide chain elongation	5	0.454545455	0.522232968		13	1.181818182	2.182575626	11		TCGA	1	0	TCGA
Asparagine N-linked glycosylation	6	0.545454545	0.820199532		13	1.181818182	2.400757456	11		TCGA	1	0	TCGA
Ion transport by P-type ATPases	7	0.636363636	0.674199862		13	1.181818182	1.834021909	11		TCGA	1	0	TCGA
Mitotic Prophase	7	0.636363636	0.809039835		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Synthesis of IP3 and IP4 in the cytosol	7	0.636363636	1.026910636		13	1.181818182	1.167748416	11		TCGA	1	0	TCGA
Golgi Associated Vesicle Biogenesis	8	0.727272727	1.009049958		13	1.181818182	2.088931871	11		TCGA	1	0	TCGA
"Interleukin-3, 5 and GM-CSF signaling"	8	0.727272727	0.786245393		13	1.181818182	1.887759615	11		TCGA	1	0	TCGA
Loss of Function of SMAD2/3 in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Loss of Function of SMAD4 in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Loss of Function of TGFBR1 in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Loss of Function of TGFBR2 in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Signaling by TGF-beta Receptor Complex	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Signaling by TGF-beta Receptor Complex in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
SMAD2/3 MH2 Domain Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
SMAD2/3 Phosphorylation Motif Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
SMAD4 MH2 Domain Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
TGFBR1 KD Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
TGFBR1 LBD Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
TGFBR2 Kinase Domain Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
TGFBR2 MSI Frameshift Mutants in Cancer	9	0.818181818	0.750757194		13	1.181818182	1.778661397	11		TCGA	1	0	TCGA
Peptide hormone metabolism	10	0.909090909	0.943879807		13	1.181818182	2.088931871	11		TCGA	1	0	TCGA
Arachidonic acid metabolism	1	0.090909091	0.301511345		12	1.090909091	1.513574937	11		TCGA	1	0	TCGA
Bile acid and bile salt metabolism	1	0.090909091	0.301511345		12	1.090909091	1.445997611	11		TCGA	1	0	TCGA
Cyclin E associated events during G1/S transition	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Elongation arrest and recovery	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Growth hormone receptor signaling	3	0.272727273	0.904534034		12	1.090909091	1.700267359	11		TCGA	1	0	TCGA
HIV elongation arrest and recovery	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Pausing and recovery of HIV elongation	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Pausing and recovery of Tat-mediated HIV elongation	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Tat-mediated HIV elongation arrest and recovery	3	0.272727273	0.467099366		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
Signaling by Robo receptor	6	0.545454545	0.687551651		12	1.090909091	1.221027883	11		TCGA	1	0	TCGA
BMAL1:CLOCK/NPAS2 Activates Circadian Expression	8	0.727272727	0.904534034		12	1.090909091	1.578261414	11		TCGA	1	0	TCGA
MAP kinase activation in TLR cascade	8	0.727272727	1.272077756		12	1.090909091	1.578261414	11		TCGA	1	0	TCGA
Centrosome maturation	9	0.818181818	0.873862898		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
GABA receptor activation	9	0.818181818	1.07871978		12	1.090909091	1.814086296	11		TCGA	1	0	TCGA
Recruitment of mitotic centrosome proteins and complexes	9	0.818181818	0.873862898		12	1.090909091	1.758098146	11		TCGA	1	0	TCGA
APC/C-mediated degradation of cell cycle proteins	10	0.909090909	0.831209415		12	1.090909091	1.640399065	11		TCGA	1	0	TCGA
Regulation of APC/C activators between G1/S and early anaphase	10	0.909090909	0.831209415		12	1.090909091	1.640399065	11		TCGA	1	0	TCGA
Regulation of mitotic cell cycle	10	0.909090909	0.831209415		12	1.090909091	1.640399065	11		TCGA	1	0	TCGA
Regulation of PLK1 Activity at G2/M Transition	10	0.909090909	0.831209415		12	1.090909091	1.513574937	11		TCGA	1	0	TCGA
Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	11	1	1.095445115		12	1.090909091	1.300349603	11		TCGA	1	0	TCGA
Constitutive Signaling by NOTCH1 PEST Domain Mutants	11	1	1.095445115		12	1.090909091	1.300349603	11		TCGA	1	0	TCGA
Semaphorin interactions	12	1.090909091	1.375103302		12	1.090909091	1.044465936	11		TCGA	1	0	TCGA
G alpha (z) signalling events	1	0.090909091	0.301511345		11	1	1.549193338	11		TCGA	1	0	TCGA
Aquaporin-mediated transport	2	0.181818182	0.603022689		11	1	1.341640786	11		TCGA	1	0	TCGA
Assembly of the pre-replicative complex	3	0.272727273	0.646669791		11	1	1.264911064	11		TCGA	1	0	TCGA
Cyclin A:Cdk2-associated events at S phase entry	3	0.272727273	0.467099366		11	1	1.673320053	11		TCGA	1	0	TCGA
Double-Strand Break Repair	3	0.272727273	0.904534034		11	1	1.414213562	11		TCGA	1	0	TCGA
Fertilization	4	0.363636364	0.674199862		11	1	1	11		TCGA	1	0	TCGA
Glucose metabolism	4	0.363636364	0.924416278		11	1	1.61245155	11		TCGA	1	0	TCGA
HS-GAG biosynthesis	4	0.363636364	0.504524979		11	1	2.049390153	11		TCGA	1	0	TCGA
Activation of NMDA receptor upon glutamate binding and postsynaptic events	5	0.454545455	0.687551651		11	1	1.095445115	11		TCGA	1	0	TCGA
Chemokine receptors bind chemokines	5	0.454545455	0.522232968		11	1	3	11		TCGA	1	0	TCGA
Nucleotide Excision Repair	5	0.454545455	0.687551651		11	1	1.414213562	11		TCGA	1	0	TCGA
Post NMDA receptor activation events	5	0.454545455	0.687551651		11	1	1.095445115	11		TCGA	1	0	TCGA
Translocation of GLUT4 to the Plasma Membrane	5	0.454545455	0.687551651		11	1	1.549193338	11		TCGA	1	0	TCGA
Interleukin-2 signaling	6	0.545454545	0.820199532		11	1	1.549193338	11		TCGA	1	0	TCGA
Phospholipase C-mediated cascade	6	0.545454545	0.820199532		11	1	1.341640786	11		TCGA	1	0	TCGA
YAP1- and WWTR1 (TAZ)-stimulated gene expression	6	0.545454545	0.687551651		11	1	1.414213562	11		TCGA	1	0	TCGA
Iron uptake and transport	7	0.636363636	0.924416278		11	1	2.19089023	11		TCGA	1	0	TCGA
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	9	0.818181818	0.750757194		11	1	1.414213562	11		TCGA	1	0	TCGA
Glycerophospholipid biosynthesis	9	0.818181818	0.981649817		11	1	1.61245155	11		TCGA	1	0	TCGA
NOTCH1 Intracellular Domain Regulates Transcription	9	0.818181818	1.07871978		11	1	1.414213562	11		TCGA	1	0	TCGA
Regulation of Insulin Secretion by Glucagon-like Peptide-1	1	0.090909091	0.301511345		10	0.909090909	1.513574937	11		TCGA	1	0	TCGA
Synthesis of bile acids and bile salts	1	0.090909091	0.301511345		10	0.909090909	1.375103302	11		TCGA	1	0	TCGA
RNA Polymerase I Transcription Initiation	2	0.181818182	0.404519917		10	0.909090909	1.300349603	11		TCGA	1	0	TCGA
RNA Polymerase III Abortive And Retractive Initiation	3	0.272727273	0.646669791		10	0.909090909	1.445997611	11		TCGA	1	0	TCGA
RNA Polymerase III Transcription	3	0.272727273	0.646669791		10	0.909090909	1.445997611	11		TCGA	1	0	TCGA
Activation of Chaperone Genes by XBP1(S)	4	0.363636364	0.674199862		10	0.909090909	1.814086296	11		TCGA	1	0	TCGA
Activation of Chaperones by IRE1alpha	4	0.363636364	0.674199862		10	0.909090909	1.814086296	11		TCGA	1	0	TCGA
G-protein mediated events	4	0.363636364	0.674199862		10	0.909090909	0.831209415	11		TCGA	1	0	TCGA
Platelet Aggregation (Plug Formation)	4	0.363636364	0.674199862		10	0.909090909	1.221027883	11		TCGA	1	0	TCGA
PLC beta mediated events	4	0.363636364	0.674199862		10	0.909090909	0.831209415	11		TCGA	1	0	TCGA
Pyruvate metabolism and Citric Acid (TCA) cycle	4	0.363636364	0.674199862		10	0.909090909	1.375103302	11		TCGA	1	0	TCGA
Transcription-coupled NER (TC-NER)	4	0.363636364	0.674199862		10	0.909090909	1.445997611	11		TCGA	1	0	TCGA
Fanconi Anemia pathway	5	0.454545455	0.934198733		10	0.909090909	1.445997611	11		TCGA	1	0	TCGA
G2/M Checkpoints	5	0.454545455	0.522232968		10	0.909090909	1.044465936	11		TCGA	1	0	TCGA
Signaling by Leptin	5	0.454545455	1.213559752		10	0.909090909	1.578261414	11		TCGA	1	0	TCGA
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S"	6	0.545454545	0.687551651		10	0.909090909	2.071450963	11		TCGA	1	0	TCGA
Circadian Repression of Expression by REV-ERBA	6	0.545454545	0.820199532		10	0.909090909	1.300349603	11		TCGA	1	0	TCGA
Interferon gamma signaling	6	0.545454545	0.687551651		10	0.909090909	1.221027883	11		TCGA	1	0	TCGA
RORA Activates Circadian Expression	6	0.545454545	0.820199532		10	0.909090909	1.300349603	11		TCGA	1	0	TCGA
Translation initiation complex formation	6	0.545454545	0.687551651		10	0.909090909	2.071450963	11		TCGA	1	0	TCGA
Activation of NF-kappaB in B Cells	7	0.636363636	1.026910636		10	0.909090909	1.513574937	11		TCGA	1	0	TCGA
Latent infection of Homo sapiens with Mycobacterium tuberculosis	8	0.727272727	1.190874392		10	0.909090909	1.868397466	11		TCGA	1	0	TCGA
Netrin-1 signaling	8	0.727272727	0.786245393		10	0.909090909	1.221027883	11		TCGA	1	0	TCGA
Phagosomal maturation (early endosomal stage)	8	0.727272727	1.190874392		10	0.909090909	1.868397466	11		TCGA	1	0	TCGA
APC/C:Cdc20 mediated degradation of mitotic proteins	9	0.818181818	0.750757194		10	0.909090909	1.445997611	11		TCGA	1	0	TCGA
Cdc20:Phospho-APC/C mediated degradation of Cyclin A	9	0.818181818	0.750757194		10	0.909090909	1.578261414	11		TCGA	1	0	TCGA
Chondroitin sulfate/dermatan sulfate metabolism	9	0.818181818	0.750757194		10	0.909090909	1.640399065	11		TCGA	1	0	TCGA
Destabilization of mRNA by KSRP	1	0.090909091	0.301511345		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Inflammasomes	1	0.090909091	0.301511345		9	0.818181818	1.401298099	11		TCGA	1	0	TCGA
RNA Polymerase I Promoter Escape	1	0.090909091	0.301511345		9	0.818181818	1.07871978	11		TCGA	1	0	TCGA
Regulation of Water Balance by Renal Aquaporins	2	0.181818182	0.603022689		9	0.818181818	1.167748416	11		TCGA	1	0	TCGA
RNA Polymerase I Transcription Termination	2	0.181818182	0.404519917		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
The canonical retinoid cycle in rods (twilight vision)	2	0.181818182	0.404519917		9	0.818181818	1.60113596	11		TCGA	1	0	TCGA
A tetrasaccharide linker sequence is required for GAG synthesis	3	0.272727273	0.467099366		9	0.818181818	1.662418829	11		TCGA	1	0	TCGA
Dual incision reaction in TC-NER	3	0.272727273	0.467099366		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Formation of the Early Elongation Complex	3	0.272727273	0.646669791		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
Formation of the HIV-1 Early Elongation Complex	3	0.272727273	0.646669791		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
Formation of transcription-coupled NER (TC-NER) repair complex	3	0.272727273	0.467099366		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Integrin alphaIIb beta3 signaling	3	0.272727273	0.467099366		9	0.818181818	1.167748416	11		TCGA	1	0	TCGA
Vif-mediated degradation of APOBEC3G	3	0.272727273	0.467099366		9	0.818181818	1.07871978	11		TCGA	1	0	TCGA
Activation of Matrix Metalloproteinases	4	0.363636364	0.674199862		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
E2F mediated regulation of DNA replication	4	0.363636364	0.674199862		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Endosomal Sorting Complex Required For Transport (ESCRT)	4	0.363636364	0.674199862		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Regulation of Apoptosis	4	0.363636364	0.504524979		9	0.818181818	1.07871978	11		TCGA	1	0	TCGA
Transferrin endocytosis and recycling	4	0.363636364	0.674199862		9	0.818181818	1.834021909	11		TCGA	1	0	TCGA
G1/S DNA Damage Checkpoints	5	0.454545455	0.522232968		9	0.818181818	1.328019715	11		TCGA	1	0	TCGA
HIV Transcription Initiation	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
RNA Polymerase II HIV Promoter Escape	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
RNA Polymerase II Promoter Escape	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
RNA Polymerase II Transcription Initiation	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
RNA Polymerase II Transcription Initiation And Promoter Clearance	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	5	0.454545455	0.687551651		9	0.818181818	1.53741223	11		TCGA	1	0	TCGA
Mitochondrial Protein Import	6	0.545454545	0.934198733		9	0.818181818	1.07871978	11		TCGA	1	0	TCGA
Ribosomal scanning and start codon recognition	6	0.545454545	0.687551651		9	0.818181818	1.778661397	11		TCGA	1	0	TCGA
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	7	0.636363636	0.674199862		9	0.818181818	1.250454463	11		TCGA	1	0	TCGA
Regulation of beta-cell development	7	0.636363636	0.809039835		9	0.818181818	0.981649817	11		TCGA	1	0	TCGA
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	7	0.636363636	0.809039835		9	0.818181818	1.328019715	11		TCGA	1	0	TCGA
Loss of Nlp from mitotic centrosomes	9	0.818181818	0.873862898		9	0.818181818	1.401298099	11		TCGA	1	0	TCGA
Loss of proteins required for interphase microtubule organization?é?áfrom the centrosome	9	0.818181818	0.873862898		9	0.818181818	1.401298099	11		TCGA	1	0	TCGA
Endogenous sterols	1	0.090909091	0.301511345		8	0.727272727	1.348399725	11		TCGA	1	0	TCGA
Glucagon signaling in metabolic regulation	1	0.090909091	0.301511345		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
Thrombin signalling through proteinase activated receptors (PARs)	1	0.090909091	0.301511345		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Activation of the pre-replicative complex	2	0.181818182	0.404519917		8	0.727272727	0.904534034	11		TCGA	1	0	TCGA
ERK/MAPK targets	2	0.181818182	0.603022689		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Global Genomic NER (GG-NER)	2	0.181818182	0.404519917		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
MAPK targets/ Nuclear events mediated by MAP kinases	2	0.181818182	0.603022689		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Negative regulation of the PI3K/AKT network	2	0.181818182	0.404519917		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
Nuclear Events (kinase and transcription factor activation)	2	0.181818182	0.603022689		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
p53-Independent DNA Damage Response	2	0.181818182	0.404519917		8	0.727272727	1.348399725	11		TCGA	1	0	TCGA
p53-Independent G1/S DNA damage checkpoint	2	0.181818182	0.404519917		8	0.727272727	1.348399725	11		TCGA	1	0	TCGA
PLC-gamma1 signalling	2	0.181818182	0.404519917		8	0.727272727	0.904534034	11		TCGA	1	0	TCGA
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	2	0.181818182	0.404519917		8	0.727272727	1.348399725	11		TCGA	1	0	TCGA
Activation of Genes by ATF4	3	0.272727273	0.646669791		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
CDT1 association with the CDC6:ORC:origin complex	3	0.272727273	0.646669791		8	0.727272727	1.272077756	11		TCGA	1	0	TCGA
Cyclin D associated events in G1	3	0.272727273	0.646669791		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
G1 Phase	3	0.272727273	0.646669791		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Inwardly rectifying K+ channels	3	0.272727273	0.467099366		8	0.727272727	1.489356176	11		TCGA	1	0	TCGA
PERK regulated gene expression	3	0.272727273	0.646669791		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
RNA Pol II CTD phosphorylation and interaction with CE	3	0.272727273	0.467099366		8	0.727272727	1.272077756	11		TCGA	1	0	TCGA
RNA Polymerase III Transcription Initiation	3	0.272727273	0.646669791		8	0.727272727	1.489356176	11		TCGA	1	0	TCGA
Amine ligand-binding receptors	4	0.363636364	0.674199862		8	0.727272727	1.848832555	11		TCGA	1	0	TCGA
Costimulation by the CD28 family	4	0.363636364	0.504524979		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Deadenylation-dependent mRNA decay	4	0.363636364	0.504524979		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
"GABA synthesis, release, reuptake and degradation"	4	0.363636364	0.504524979		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
Insulin receptor recycling	4	0.363636364	0.674199862		8	0.727272727	1.555050423	11		TCGA	1	0	TCGA
mRNA Capping	4	0.363636364	0.674199862		8	0.727272727	1.272077756	11		TCGA	1	0	TCGA
ABCA transporters in lipid homeostasis	5	0.454545455	0.934198733		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
"Formation of the ternary complex, and subsequently, the 43S complex"	5	0.454545455	0.687551651		8	0.727272727	1.793929156	11		TCGA	1	0	TCGA
Intrinsic Pathway for Apoptosis	5	0.454545455	0.522232968		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
Negative regulation of FGFR signaling	5	0.454545455	0.687551651		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
p53-Dependent G1 DNA Damage Response	5	0.454545455	0.522232968		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
p53-Dependent G1/S DNA damage checkpoint	5	0.454545455	0.522232968		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Pre-NOTCH Expression and Processing	5	0.454545455	0.687551651		8	0.727272727	1.348399725	11		TCGA	1	0	TCGA
TRP channels	5	0.454545455	0.687551651		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
FCERI mediated NF-kB activation	6	0.545454545	0.820199532		8	0.727272727	1.103712743	11		TCGA	1	0	TCGA
Formation of Fibrin Clot (Clotting Cascade)	6	0.545454545	0.820199532		8	0.727272727	1.793929156	11		TCGA	1	0	TCGA
Reversible Hydration of Carbon Dioxide	6	0.545454545	1.213559752		8	0.727272727	1.61807967	11		TCGA	1	0	TCGA
Signalling to ERKs	6	0.545454545	0.687551651		8	0.727272727	0.646669791	11		TCGA	1	0	TCGA
APC/C:Cdc20 mediated degradation of Securin	7	0.636363636	0.674199862		8	0.727272727	1.272077756	11		TCGA	1	0	TCGA
Degradation of beta-catenin by the destruction complex	7	0.636363636	0.674199862		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
FCERI mediated MAPK activation	7	0.636363636	0.674199862		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	7	0.636363636	0.809039835		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
Neurotransmitter Release Cycle	7	0.636363636	0.674199862		8	0.727272727	1.190874392	11		TCGA	1	0	TCGA
Nuclear Envelope Breakdown	7	0.636363636	0.809039835		8	0.727272727	1.272077756	11		TCGA	1	0	TCGA
Effects of PIP2 hydrolysis	8	0.727272727	1.009049958		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
Hexose transport	8	0.727272727	1.009049958		8	0.727272727	1.555050423	11		TCGA	1	0	TCGA
Signaling by FGFR mutants	8	0.727272727	1.190874392		8	0.727272727	1.555050423	11		TCGA	1	0	TCGA
Transport of Mature Transcript to Cytoplasm	8	0.727272727	0.646669791		8	0.727272727	1.555050423	11		TCGA	1	0	TCGA
tRNA Aminoacylation	8	0.727272727	0.904534034		8	0.727272727	1.009049958	11		TCGA	1	0	TCGA
Adherens junctions interactions	0	0	0		7	0.636363636	0.674199862	11		TCGA	1	0	TCGA
ERKs are inactivated	0	0	0		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol	0	0	0		7	0.636363636	1.286291357	11		TCGA	1	0	TCGA
Ca-dependent events	1	0.090909091	0.301511345		7	0.636363636	0.809039835	11		TCGA	1	0	TCGA
Dual incision reaction in GG-NER	1	0.090909091	0.301511345		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Formation of incision complex in GG-NER	1	0.090909091	0.301511345		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Xenobiotics	1	0.090909091	0.301511345		7	0.636363636	1.501514387	11		TCGA	1	0	TCGA
Cholesterol biosynthesis	2	0.181818182	0.404519917		7	0.636363636	0.674199862	11		TCGA	1	0	TCGA
Cross-presentation of soluble exogenous antigens (endosomes)	2	0.181818182	0.404519917		7	0.636363636	1.206045378	11		TCGA	1	0	TCGA
DAG and IP3 signaling	2	0.181818182	0.404519917		7	0.636363636	0.924416278	11		TCGA	1	0	TCGA
Destabilization of mRNA by AUF1 (hnRNP D0)	2	0.181818182	0.404519917		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
EGFR interacts with phospholipase C-gamma	2	0.181818182	0.404519917		7	0.636363636	0.924416278	11		TCGA	1	0	TCGA
Golgi Cisternae Pericentriolar Stack Reorganization	2	0.181818182	0.404519917		7	0.636363636	0.924416278	11		TCGA	1	0	TCGA
O2/CO2 exchange in erythrocytes	2	0.181818182	0.603022689		7	0.636363636	1.286291357	11		TCGA	1	0	TCGA
PLCG1 events in ERBB2 signaling	2	0.181818182	0.404519917		7	0.636363636	0.924416278	11		TCGA	1	0	TCGA
Regulation of activated PAK-2p34 by proteasome mediated degradation	2	0.181818182	0.404519917		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Regulation of ornithine decarboxylase (ODC)	2	0.181818182	0.404519917		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Signalling to RAS	2	0.181818182	0.404519917		7	0.636363636	0.674199862	11		TCGA	1	0	TCGA
Ubiquitin-dependent degradation of Cyclin D	2	0.181818182	0.404519917		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
Ubiquitin-dependent degradation of Cyclin D1	2	0.181818182	0.404519917		7	0.636363636	1.026910636	11		TCGA	1	0	TCGA
