	DFCI.11-104.02-Tumor COMB.csv	DFCI.11-104.13 COMB.csv	MO_1008-Tumor_Bone COMB.csv	MO_1008-Tumor_Dura COMB.csv	MO_1012-Abdomen COMB.csv	MO_1012-Subcut COMB.csv	MO_1013-Tumour COMB.csv	MO_1014-Tumour COMB.csv	MO_1015-Tumor COMB.csv	MO_1020-Tumor COMB.csv	MO_1021-Tumor COMB.csv	MO_1040-Tumor COMB.csv	MO_1054-Tumor COMB.csv	MO_1074-Tumor COMB.csv	MO_1084-Tumor COMB.csv	MO_1094-Tumor COMB.csv	MO_1095-Tumor COMB.csv	MO_1096-Tumor COMB.csv	MO_1105-Tumor COMB.csv	MO_1114-Tumor COMB.csv	MO_1124-Tumor COMB.csv	MO_1128-Tumor COMB.csv	MO_1130-Tumor COMB.csv	MO_1132-Tumor COMB.csv	MO_1139-Tumor COMB.csv	MO_1162-Tumor COMB.csv	MO_1176-Tumor COMB.csv	MO_1179-Tumor COMB.csv	MO_1184-Tumor COMB.csv	MO_1192-Tumor COMB.csv	MO_1202-Tumor COMB.csv	MO_1215-Tumor COMB.csv	MO_1219-Tumor COMB.csv	MO_1221-Tumor COMB.csv	MO_1232-Tumor COMB.csv	MO_1241-Tumor COMB.csv	MO_1244-Tumor COMB.csv	MO_1249-Tumor COMB.csv	MO_1262-Tumor COMB.csv	MO_1263-Tumor COMB.csv	PROS10448-1115149-Tumor-SM-5EEBJ COMB.csv	PROS10448-SUTC.01115082-Tumor-SM-47C6B COMB.csv	PROS10448-SUTC.01115091-Tumor-SM-4JC71 COMB.csv	PROS10448-SUTC.01115092-Tumor-SM-4JC74 COMB.csv	PROS12319B-SU2C-06115116-Tumor-SM-4W2NB COMB.csv	SC_9009-Tumor COMB.csv	SC_9012-Tumor COMB.csv	SC_9025-Tumor COMB.csv	SC_9063-Tumor COMB.csv	SC_9066-Tumor COMB.csv	P00-000450 COMB.csv	P01-28 COMB.csv	P02-1562 COMB.csv	P02-2035 COMB.csv	P03-1334 COMB.csv	P03-1426 COMB.csv	P03-1906 COMB.csv	P03-2345 COMB.csv	P03-2620 COMB.csv	P03-3391 COMB.csv	P03-3676 COMB.csv	P03-595 COMB.csv	P03-871 COMB.csv	P04-1084 COMB.csv	P04-1243 COMB.csv	P04-1421 COMB.csv	P04-1790 COMB.csv	P04-2599 COMB.csv	P04-2641 COMB.csv	P04-2666 COMB.csv	P04-2740 COMB.csv	P04-47 COMB.csv	P04-594 COMB.csv	P05-2212 COMB.csv	P05-2594 COMB.csv	P05-3436 COMB.csv	P05-3829 COMB.csv	P05-3852 COMB.csv	P05-3859 COMB.csv	P05-620 COMB.csv	P06-1125 COMB.csv	P06-1696 COMB.csv	P06-2325 COMB.csv	P06-3939 COMB.csv	P06-4428 COMB.csv	P07-144 COMB.csv	P07-837 COMB.csv	P08-2516 COMB.csv	P08-590 COMB.csv	P09-120 COMB.csv	P09-1372 COMB.csv	P09-1580 COMB.csv	P09-2497 COMB.csv	P09-649 COMB.csv	PR-00-1165 COMB.csv	PR-00-160 COMB.csv	PR-00-1823 COMB.csv	PR-0099 COMB.csv	PR-01-1934 COMB.csv	PR-01-2382 COMB.csv
Mitochondrial transcription termination	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitochondrial tRNA aminoacylation	7	0	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	2	1	3	1	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Mitochondrial Uncoupling Proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitotic Anaphase	37	1	2	2	14	16	3	2	1	2	0	0	2	2	2	1	2	5	1	3	1	2	8	1	4	12	5	16	2	2	4	1	1	19	10	5	3	2	8	0	1	3	1	2	5	3	3	2	2	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	10	1	1	0	0	0
Mitotic G1-G1/S phases	30	2	4	2	13	12	7	2	2	2	0	0	0	0	0	2	0	4	0	1	2	2	10	1	3	8	3	12	1	1	0	2	0	6	9	4	1	3	4	1	0	1	2	6	3	1	1	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	9	1	1	0	0	0
Mitotic G2-G2/M phases	14	2	2	2	12	6	4	3	2	0	0	1	1	1	2	0	1	0	1	2	2	0	5	1	1	7	3	7	0	1	2	1	0	3	6	4	1	1	1	1	0	3	0	6	4	0	0	0	1	1	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0
Mitotic Metaphase and Anaphase	37	1	2	2	14	16	3	2	1	2	0	0	2	2	2	1	2	5	1	3	1	2	8	1	4	12	5	16	2	3	4	1	1	19	10	5	3	2	8	0	1	3	1	2	5	3	3	2	2	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	10	1	1	0	0	0
Mitotic Metaphase/Anaphase Transition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitotic M-M/G1 phases	53	5	2	3	26	27	6	5	3	2	0	0	2	2	3	1	3	12	6	3	2	5	13	3	7	17	8	28	2	3	5	3	3	22	15	10	6	2	8	0	2	5	2	5	11	4	3	2	3	2	0	1	1	0	2	1	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	1	3	1	1	0	0	1	1	0	0	13	1	1	0	0	0
Mitotic Prometaphase	26	2	2	2	7	5	3	1	0	1	0	0	2	1	1	1	2	2	1	2	0	1	5	1	3	5	2	7	0	1	3	1	0	10	6	2	1	1	3	0	0	3	1	1	3	2	2	1	2	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	6	1	1	0	0	0
Mitotic Prophase	12	3	1	1	11	13	2	3	1	1	0	0	1	0	1	1	0	7	4	0	1	2	5	2	1	7	3	12	0	1	2	2	2	7	6	5	5	0	2	0	2	0	1	1	6	0	1	0	2	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Mitotic Spindle Checkpoint	3	0	0	0	2	2	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	1	0	1	2	1	3	2	1	1	0	1	5	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mitotic Telophase/Cytokinesis	4	1	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
Molecules associated with elastic fibres	5	0	0	0	7	6	1	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	2	0	5	0	0	1	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0
Molybdenum cofactor biosynthesis	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
"Monoamines are oxidized to aldehydes by MAOA and MAOB, producing NH3 and H2O2"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MPS I - Hurler syndrome	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS II - Hunter syndrome	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IIIA - Sanfilippo syndrome A	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IIIB - Sanfilippo syndrome B	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IIIC - Sanfilippo syndrome C	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IIID - Sanfilippo syndrome D	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IV - Morquio syndrome A	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IV - Morquio syndrome B	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS IX - Natowicz syndrome	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS VI - Maroteaux-Lamy syndrome	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MPS VII - Sly syndrome	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
MRN complex relocalizes to nuclear foci	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA 3'-end processing	7	0	1	1	4	2	3	0	2	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0	1	4	1	4	0	1	0	1	0	3	3	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
mRNA Capping	8	0	0	1	1	2	2	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	1	0	0	1	1	0	0	0	2	2	0	1	3	0	0	2	0	1	2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
mRNA decay by 3' to 5' exoribonuclease	4	0	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	2	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mRNA decay by 5' to 3' exoribonuclease	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
mRNA Editing	0	1	1	1	1	2	2	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	2	1	0	1	1	0	1	1	0	2	1	1	1	0	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA Editing: A to I Conversion	0	1	1	1	1	2	2	1	1	0	0	1	0	0	1	0	1	1	0	0	1	0	0	1	2	1	0	1	1	0	1	1	0	2	1	1	1	0	0	1	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA Editing: C to U Conversion	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mRNA Splicing	27	2	1	2	11	8	4	3	3	0	0	1	0	0	0	0	0	2	4	1	1	1	6	0	1	9	1	10	0	2	1	1	0	6	6	2	3	0	5	1	0	2	0	3	2	1	1	2	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	5	0	1	0	0	0
mRNA Splicing - Major Pathway	27	2	1	2	11	8	4	3	3	0	0	1	0	0	0	0	0	2	4	1	1	1	6	0	1	9	1	10	0	2	1	1	0	6	6	2	3	0	5	1	0	2	0	3	2	1	1	2	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	1	0	5	0	1	0	0	0
mRNA Splicing - Minor Pathway	10	0	0	1	5	4	2	2	1	0	0	1	0	0	0	0	0	1	3	0	1	0	3	0	1	1	0	5	0	0	1	0	0	3	3	2	1	0	4	1	0	1	0	0	2	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Mtb iron assimilation by chelation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mTOR signalling	9	0	0	0	5	5	1	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	2	1	2	0	0	1	1	0	4	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
mTORC1-mediated signalling	4	0	0	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Mucopolysaccharidoses	15	2	2	1	16	14	6	2	3	1	0	1	2	0	4	1	2	1	2	2	1	0	13	1	1	13	2	12	1	3	3	1	1	10	7	1	0	3	2	1	1	5	2	4	2	0	3	1	4	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	1	1	1	1	7	1	1	0	2	0
Multifunctional anion exchangers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Muscarinic acetylcholine receptors	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Muscle contraction	2	3	1	0	7	5	1	2	1	2	0	0	0	0	1	1	1	2	9	1	1	1	3	1	0	3	2	4	2	0	2	1	0	3	2	3	0	1	1	1	0	3	1	3	2	1	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	6	0	0	0	0	0
MyD88 cascade initiated on plasma membrane	10	4	2	1	5	4	0	3	2	0	0	2	0	3	0	0	0	1	0	0	0	1	6	0	2	5	1	5	0	2	1	1	0	5	2	2	2	0	2	2	0	1	1	2	2	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0
MyD88 dependent cascade initiated on endosome	10	6	2	1	6	4	0	3	4	0	0	2	0	3	0	0	0	1	0	0	0	1	6	0	2	5	1	5	0	2	1	1	0	5	2	2	2	0	2	2	0	1	1	4	2	2	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	2	0
MyD88:Mal cascade initiated on plasma membrane	10	4	3	2	5	4	0	3	2	0	0	2	0	3	0	0	0	1	0	1	0	1	8	0	2	5	1	7	0	2	1	1	0	5	2	2	3	0	2	2	0	1	2	4	2	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	0	0	2	0
MyD88-independent cascade	11	4	3	2	5	2	0	2	4	0	0	1	0	3	0	0	0	1	0	0	1	1	7	1	2	7	1	8	0	2	1	1	0	6	5	2	2	2	2	2	0	2	2	2	2	2	0	0	2	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	3	0	0	1	1	0
Myoclonic epilepsy of Lafora	39	7	4	1	29	24	8	4	5	3	0	2	3	2	4	2	2	4	4	3	1	3	16	2	2	20	3	25	1	4	7	3	2	15	8	6	2	3	6	1	2	6	6	12	7	0	4	1	6	4	0	2	0	0	3	0	1	0	0	1	0	0	1	0	4	1	1	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0	0	1	2	1	0	2	0	0	1	2	1	1	16	3	1	0	3	0
Myogenesis	3	0	0	0	5	3	0	0	1	0	0	0	0	0	0	0	1	1	4	0	0	1	1	0	0	1	2	2	2	1	0	1	0	3	1	3	0	0	3	0	0	0	1	1	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	1	0	0	0	1	0	1	1	0	0	1	0
Na+/Cl- dependent neurotransmitter transporters	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	4	0	2	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Na+-dependent glucose transporters	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADE modulates death signalling	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NADPH regeneration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NCAM signaling for neurite out-growth	7	4	2	2	16	12	3	3	1	1	0	0	1	0	0	0	1	0	2	1	2	1	2	0	0	1	2	3	0	1	0	0	0	4	5	0	1	0	1	1	0	1	1	3	0	2	1	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	1	1	0	0	1	0	4	1	4	0	1	0	1	1
NCAM1 interactions	5	2	0	0	10	8	2	0	0	1	0	0	1	0	0	0	1	0	2	1	2	0	1	0	0	0	2	2	0	0	0	0	0	1	2	0	1	0	1	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	2	1	3	0	1	0	1	1
